genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
"[878, 28, 12]",580489,en,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",6972.003,9/30/2021,Venom: Let There Be Carnage,7.2,4500
"[28, 35, 80, 53]",512195,en,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",4496.76,11/4/2021,Red Notice,6.8,2016
"[28, 12, 878, 14]",634649,en,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",4062.446,12/15/2021,Spider-Man: No Way Home,8.4,84
"[16, 35, 10751]",585245,en,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",2509.512,11/10/2021,Clifford the Big Red Dog,7.6,568
"[28, 12, 14]",566525,en,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,2453.799,9/1/2021,Shang-Chi and the Legend of the Ten Rings,7.8,4244
"[16, 35, 10751, 14]",568124,en,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",2579.114,11/24/2021,Encanto,7.4,328
"[28, 18, 36]",617653,en,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",2326.27,10/13/2021,The Last Duel,7.6,917
"[16, 878, 10751, 35]",482321,en,"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",1917.981,10/15/2021,Ron's Gone Wrong,8.5,343
"[12, 28, 53]",370172,en,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",1474.837,9/29/2021,No Time to Die,7.6,2543
"[37, 28, 53]",887767,en,"Soon after a newlywed learns that her husband had her father shot down, she flees from the Callahan ranch in fear. She's rescued by a gunman who safeguards her at a remote outpost as he staves off her husband's attempts to reclaim his bride.",1483.724,12/3/2021,Last Shoot Out,7.1,27
"[28, 12, 878, 18, 14]",524434,en,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",1474.011,11/3/2021,Eternals,7.1,1416
"[27, 9648, 53]",609972,en,"Margot, a documentary filmmaker, heads to a secluded Amish community in the hopes of learning about her long-lost mother and extended family. Following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems.",1127.56,10/29/2021,Paranormal Activity: Next of Kin,6.7,151
"[16, 35, 10751]",774741,en,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first.,1836.038,12/3/2021,Diary of a Wimpy Kid,7.1,71
"[878, 18, 12]",522402,en,"On a post-apocalyptic Earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human.",1039.612,11/4/2021,Finch,8.2,1439
"[53, 10752]",762433,en,"Called to Rome to stop an imminent terrorist bombing, a soldier desperately seeks news of his imprisoned brother — a rebel with knowledge that could thwart the attack. Navigating the capital's darkened streets, he races to a series of ominous encounters to keep the Vatican from being blown to bits.",1154.767,11/18/2021,Zeros and Ones,5.6,68
"[16, 35, 14]",877183,en,"The Simpsons host a Disney+ Day party and everyone is on the list… except Homer. With friends from across the service and music fit for a Disney Princess, Plusaversary is Springfield's event of the year.",1020.358,11/12/2021,The Simpsons in Plusaversary,6.7,164
"[35, 28, 12, 878]",550988,en,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,971.668,8/11/2021,Free Guy,7.8,4091
"[878, 12]",438631,en,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",921.156,9/15/2021,Dune,8,4733
"[10752, 36, 18]",885110,en,"In 16th-century Zazzau, now Zaria, Nigeria, Amina must utilize her military skills and tactics to defend her family's kingdom. Based on a true story.",892.465,11/4/2021,Amina,6.3,55
"[10749, 35, 18]",810873,en,"Desperate to avoid his family’s judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they’re now in a relationship. But when Peter’s mother sets him up on a blind date with her handsome trainer James, the plan goes awry.",811.853,12/2/2021,Single All the Way,6.4,118
"[10751, 14]",762879,en,"Rowena ""Ro"" is a high-spirited 11-year-old hoping to add more spunk to her Christmas celebrations when her parents’ divorce is going anything but smoothly.",891.31,12/3/2021,Christmas ...Again?!,7.6,25
"[16, 35, 10751]",785545,en,Shaun's seasonal excitement turns to dismay when a farmhouse raid to get bigger stockings for the flock inadvertently leads to Timmy going missing. Can Shaun get Timmy back before he becomes someone else’s present?,893.635,12/3/2021,Shaun the Sheep: The Flight Before Christmas,7,20
"[28, 53, 878]",763164,en,"Ex-cop Thomas Malone is serving a life sentence for a crime he didn’t commit. He is offered a chance at freedom if he can survive a deadly game of Apex, in which six hunters pay for the pleasure of hunting another human on a remote island. He accepts, and once he arrives, all hell breaks loose.",805.068,11/12/2021,Apex,5.5,276
"[28, 12, 14]",1930,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",888.899,6/23/2012,The Amazing Spider-Man,6.6,13764
"[16, 14, 10751]",896221,en,"Queen Poppy plans the first annual Trolls Kingdom Secret Holiday Gift Swap, but things don't go quite as expected.",798.876,11/26/2021,Trolls Holiday in Harmony,7.7,43
"[16, 35]",874299,en,"What happened to the children who lived through the Pandemic? Stan, Kyle, Cartman and Kenny survived but will never be the same Post Covid.",1113.399,11/25/2021,South Park: Post Covid,7.5,65
"[10749, 18]",744275,en,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",808.697,9/1/2021,After We Fell,7.2,1133
"[16, 35, 10751, 14]",876716,en,"With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo – the imposing, tattooed, one-armed fisherman of few words – who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.",714.992,11/12/2021,Ciao Alberto,7.7,254
"[28, 12, 878]",429617,en,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",897.325,6/28/2019,Spider-Man: Far From Home,7.5,11198
"[28, 12, 878, 18]",315635,en,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",920.856,7/5/2017,Spider-Man: Homecoming,7.4,17338
"[53, 27]",768447,en,"Kate and her daughter Beth live alone in an isolated farmhouse in the woods, but when Kate slowly begins to suspect that something sinister is happening, her motherly instincts are put to the test.",615.078,9/1/2021,Motherly,8,24
"[16, 35, 12, 10751]",459151,en,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,669.705,7/1/2021,The Boss Baby: Family Business,7.7,1652
"[28, 18]",763025,en,An amateur fighter is lured by a trafficking syndicate specializing in elite underground fighting where her brutal captor forces her to fight or face certain death.,588.086,11/15/2021,Never Back Down: Revolt,6.4,26
"[10751, 12, 14]",615666,en,"An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible…",588.848,11/25/2021,A Boy Called Christmas,7.8,225
"[10751, 35]",654974,en,"After being left at home by himself for the holidays, 10-year-old Max Mercer must work to defend his home from a married couple who tries to steal back a valuable heirloom.",556.221,11/12/2021,Home Sweet Home Alone,5.4,256
"[12, 14, 35, 28]",451048,en,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",517.242,7/28/2021,Jungle Cruise,7.7,3531
"[16, 35, 10751, 14]",508943,en,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,542.816,6/17/2021,Luca,8,5279
[37],618162,en,"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.",512.726,10/22/2021,The Harder They Fall,6.8,424
"[28, 12, 14]",102382,en,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",650.202,4/16/2014,The Amazing Spider-Man 2,6.4,10058
"[10751, 35]",802217,en,"In suburban Chicago during the late 1980s, ten-year-old Jake Doyle embarks on a herculean quest to get the latest and greatest video game system for Christmas.",504.103,11/25/2021,8-Bit Christmas,6.4,99
"[28, 12]",568620,en,"After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",503.825,7/22/2021,Snake Eyes: G.I. Joe Origins,6.8,877
"[28, 80, 53]",385128,en,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,533.959,5/19/2021,F9,7.4,4551
"[28, 12, 878]",497698,en,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",477.683,7/7/2021,Black Widow,7.6,6272
"[16, 28, 12, 878]",703771,en,The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,515.071,8/4/2020,Deathstroke: Knights & Dragons - The Movie,7,304
"[16, 10751, 12, 35]",675445,en,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,467.079,8/9/2021,PAW Patrol: The Movie,7.6,741
"[28, 12, 14]",436969,en,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",507.489,7/28/2021,The Suicide Squad,7.8,4988
"[10751, 878, 35, 28]",675353,en,"When the evil Dr. Robotnik and his sidekick Knuckles make an unexpected visit to Earth on the search for an all-powerful emerald, Sonic joins forces with a new ally named Tails and embarks on a journey to find the emerald before it falls into the wrong hands.",512.532,3/31/2022,Sonic the Hedgehog 2,0,0
"[14, 28]",557,en,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",639.111,5/1/2002,Spider-Man,7.2,14567
"[14, 28, 12]",559,en,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",587.794,5/1/2007,Spider-Man 3,6.3,10704
"[16, 10751]",823609,en,"To free Baba Yaga and Renfield from the clutches of Monster Hunter Mila Starr, the Wishbone Family once more transforms into a Vampire, Frankenstein's Monster, a Mummy and a Werewolf. Aided and abetted by their three pet bats, our Monster Family zooms around the world again to save their friends, make new monstrous acquaintances and finally come to the realization that ‘Nobody’s Perfect’ – even those with flaws can find happiness.",479.85,1/13/2021,Monster Family 2,7.6,16
"[16, 35, 10751, 10402]",438695,en,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",454.919,12/1/2021,Sing 2,7.8,26
"[28, 878, 35, 10751]",454626,en,"Based on the global blockbuster videogame franchise from Sega, Sonic the Hedgehog tells the story of the world’s speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend team up to defend the planet from the evil genius Dr. Robotnik and his plans for world domination.",456.388,2/12/2020,Sonic the Hedgehog,7.4,7307
"[16, 12, 35, 10751]",639721,en,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,463.087,10/1/2021,The Addams Family 2,7.3,638
"[35, 80]",337404,en,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",461.093,5/26/2021,Cruella,8.2,6129
"[28, 80, 53]",796499,en,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,488.885,10/27/2021,Army of Thieves,6.9,889
"[80, 28, 53]",630004,en,"When an engineer learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",430.995,3/3/2021,The Vault,7.1,456
"[18, 10749, 10402]",424277,en,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.",455.949,7/6/2021,Annette,7.1,295
"[27, 9648, 53]",576845,en,"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.",404.011,10/21/2021,Last Night in Soho,7.6,775
"[28, 12, 16, 878, 35]",324857,en,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",498.917,12/6/2018,Spider-Man: Into the Spider-Verse,8.4,10334
"[16, 10751, 35, 878]",379686,en,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",450.21,7/8/2021,Space Jam: A New Legacy,7.2,2672
"[10402, 16]",554594,en,"A coati, a butterfly and a frog join forces in order to avoid an evil snake that is destroying their homes.",377.738,10/22/2021,Koati,7.7,23
"[28, 14, 12]",460465,en,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",409.767,4/7/2021,Mortal Kombat,7.3,4129
"[878, 53, 9648]",675319,en,"In the near future on a colony of state-of-the-art robots, a private investigator is hired by the colony's creator to bring his missing daughter home.",388.322,9/3/2021,Zone 414,5.6,110
"[27, 53]",610253,en,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",455.274,10/14/2021,Halloween Kills,6.9,1322
"[27, 28, 878]",460458,en,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",432.436,1/6/2021,Resident Evil: Welcome to Raccoon City,5.9,137
"[28, 80, 53]",637649,en,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",375.637,4/22/2021,Wrath of Man,7.8,2782
"[12, 28, 878]",299536,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",380.358,4/25/2018,Avengers: Infinity War,8.3,23315
"[27, 14, 9648]",839436,en,A group of soldiers are taken to the mountains of Wales to investigate a strange looking monster.,352.677,6/15/2021,Dragon Fury,6.4,29
"[28, 14, 878]",399566,en,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",369.146,3/24/2021,Godzilla vs. Kong,7.9,7320
"[28, 878, 12]",588228,en,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",342.97,7/2/2021,The Tomorrow War,8.1,4740
[27],672582,en,"While diving in a remote French lake, a couple of YouTubers who specialize in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realize the worst is yet to come: they are not alone in the house.",335.179,6/30/2021,The Deep House,6.5,330
"[28, 53, 80]",574060,en,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",352.995,7/14/2021,Gunpowder Milkshake,6.5,421
[27],820511,en,A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbors a deadly secret.,317.004,6/28/2021,Ripper Untold,6.5,54
"[28, 12, 14, 878]",791373,en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",365.097,3/18/2021,Zack Snyder's Justice League,8.4,6947
"[16, 35, 10751, 10402]",335797,en,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,288.225,11/23/2016,Sing,7.1,6351
[53],835551,en,A young girl struggles to survive after a group of home invaders break into her house to steal her family's priceless artwork.,302.238,7/30/2021,Masquerade,5.8,34
"[35, 10751, 18]",32471,en,"On the eve of Y2K, orphaned 12-year-old Beverly discovers a broken mixtape crafted by her teen parents. Raised by her grandmother - who struggles talking about her late daughter - Beverly sees the mixtape as a chance to finally learn more about her parents.",291.039,12/3/2021,Mixtape,7.6,34
